,Symbol,Company Name,Exchange,Price,Shares,Date,Offer Amount,Actions,Description,Country,Group,Industry
216,KALA,"Kala Pharmaceuticals, Inc.",NASDAQ Global Select,15.0,"6,000,000",07/20/2017,90000000,Priced,Kala Pharmaceuticals Inc. a biopharmaceutical company focuses on the development and commercialization of therapies using its proprietary nanoparticle-based Mucus Penetrating Particles (MPP) technology for the treatment of eye diseases. The company's lead product candidate is KPI-121 0.25% which has completed two Phase III clinical trials for the treatment of temporary relief of the signs and symptoms of dry eye disease; INVELTYS which has completed two Phase III clinical trials for the treatment of inflammation and pain following ocular surgery; and KPI-285 a MPP receptor tyrosine kinase inhibitor program which is in preclinical studies for the treatment of retinal diseases. The company was formerly known as Hanes Newco Inc. and changed its name to Kala Pharmaceuticals Inc. in December 2009. Kala Pharmaceuticals Inc. was founded in 2009 and is headquartered in Watertown Massachusetts.,United States,Research,Healthcare
217,TRTX,"TPG RE Finance Trust, Inc.",NYSE,20.0,"11,000,000",07/20/2017,220000000,Priced,TPG RE Finance Trust Inc. a commercial real estate finance company originates acquires and manages commercial mortgage loans and other commercial real estate-related debt instruments in North America. It invests in commercial mortgage loans; subordinate mortgage interests mezzanine loans secured real estate securities note financing preferred equity and miscellaneous debt instruments; and commercial real estate collateralized loan obligations and commercial mortgage-backed securities secured by properties primarily in the office mixed use multifamily industrial retail and hospitality real estate sectors. The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its stockholders. TPG RE Finance Trust Inc. was founded in 2014 and is based in New York New York.,United States,Misc.,Real Estate
218,REPL,"Replimune Group, Inc.",NASDAQ Global Select,15.0,"6,700,000",07/20/2018,100500000,Priced,Replimune Group Inc. a biotechnology company develops oncolytic immune-gene therapies to treat cancer. It uses its proprietary Immulytic platform to design and develop product candidates that are intended to activate the immune system against cancer. The company's lead product candidate is RP1 a selectively replicating version of herpes simplex virus 1 which is in Phase I/II clinical trials for a range of solid tumors; and that is in Phase II clinical trials for patients with cutaneous squamous cell carcinoma. It is also developing RP2 which is in Phase I clinical trials for an anti-CTLA-4 antibody-like protein in order to block the inhibition of the immune response otherwise caused by CTLA-4; and RP3 to express immune-activating proteins that stimulate T cells. Replimune Group Inc. was founded in 2015 and is headquartered in Woburn Massachusetts.,United States,Research,Healthcare
219,PETQ,"PetIQ, Inc.",NASDAQ Global Select,16.0,"6,250,000",07/21/2017,100000000,Priced,PetIQ Inc. operates as a pet medication and wellness company. It operates through two segments Products and Services. The company offers prescription pet medications including products for arthritis thyroid and diabetes and pain treatments as well as heartworm preventatives antibiotics and other specialty medications; and over-the-counter medications and supplies such as flea and tick control products in various forms comprising spot on treatments chewables and collars. It also provides health and wellness products that include dental treats and nutritional supplements which comprise hip and joint vitamins and skin and coat products The company offers its products primarily under the PetIQ PetArmor VIP Petcare VetIQ PetCare VetIQ Advecta SENTRY Sergeants PetLock Heart Shield Plus TruProfen Betsy Farms PetAction Minties Vera and Delightibles brands. In addition the company offers a suite of services at community clinics and wellness centers hosted at pet retailers across 41 states including diagnostic tests vaccinations prescription medications microchipping and wellness checks. As of March 10 2020 it operated through approximately 60000 points of distribution across retail and e-commerce channels. The company was founded in 2010 and is headquartered in Eagle Idaho.,United States,Research,Healthcare
220,BE,Bloom Energy Corp,NYSE,15.0,"18,000,000",07/25/2018,270000000,Priced,Bloom Energy Corporation designs manufactures and sells solid-oxide fuel cell systems for on-site power generation. It offers Bloom Energy Server a stationary power generation platform that converts standard low-pressure natural gas biogas or hydrogen into electricity through an electrochemical process without combustion. The company serves banking and financial services cloud services technology and data centers communications and media consumer packaged goods and consumables education government healthcare hospitality logistics manufacturing real estate retail and utilities industries. It primarily operates in the United States Japan China India and the Republic of Korea. The company was formerly known as Ion America Corp. and changed its name to Bloom Energy Corporation in September 2006. Bloom Energy Corporation was founded in 2001 and is headquartered in San Jose California.,United States,Misc.,Industrials
221,PROS,"ProSight Global, Inc.",NYSE,14.0,"7,857,145",07/25/2019,110000030,Priced,ProSight Global Inc. together with its subsidiaries operates as an entrepreneurial specialty insurance company in the United States. The company underwrites insurance coverages in the lines of commercial auto general liability workers' compensation commercial multiple peril and other. It serves customers in construction consumer service marine and energy media and entertainment professional service real estate sports and transportation industries. ProSight Global Inc. was founded in 2009 and is headquartered in Morristown New Jersey.,United States,Misc.,Financial Services
222,NOVA,Sunnova Energy International Inc.,NYSE,12.0,"14,000,000",07/25/2019,168000000,Priced,Sunnova Energy International Inc. provides residential solar and energy storage services in the United States. The company offers operations and maintenance monitoring repairs and replacements equipment upgrades on-site power optimization and diagnostics services. It operates a fleet of residential solar energy systems with a generation capacity of approximately 572 megawatts serving approximately 80000 customers. Sunnova Energy International Inc. was founded in 2012 and is headquartered in Houston Texas.,United States,Innovation,Technology
223,HCAT,"Health Catalyst, Inc.",NASDAQ Global Select,26.0,"7,000,000",07/25/2019,182000000,Priced,Health Catalyst Inc. provides data and analytics technology and services to healthcare organizations primarily in the United States. The company operates through two segments Technology and Professional services. Its products include cloud-based data platform analytics software and professional services. The company offers Data Operating System (DOS) a data platform that allows customers to integrate and organize their disparate data sources to enable analytics including healthcare-specific terminology data governance and meta-data management. It also develops foundational software applications comprising Population Builder application that enables clinicians and administrators to author manage view and publish pre-built and custom population ruleset definitions; Touchstone application for benchmarking solutions; and Leading Wisely application for dashboards and reporting solutions. In addition the company provides domain-specific software applications such as CORUS application for activity-based costing; patient safety monitor analytics; care management services; population health foundations solutions; and quality and regulatory measures solutions. Further it offers analytics accelerators which facilitate analytic insights across clinical financial and operational use-cases. Additionally the company provides data and analytics services including data engineering analytic engineer implementation data science analytics strategy and data governance services; and clinical financial and operational services comprising quality and process improvement strategy patient safety cost accounting population health and value-based care abstraction data submission and health catalyst university educational services. The company was founded in 2008 and is headquartered in Salt Lake City Utah.,United States,Business,Healthcare
224,LVGO,"Livongo Health, Inc.",NASDAQ Global Select,28.0,"12,687,000",07/25/2019,355236000,Priced,Livongo Health Inc. provides an integrated suite of solutions for the healthcare industry in North America. Its solutions promote health behavior change based on real-time data capture supported by intuitive devices and insights driven by data science. The company offers a platform that provides cellular-connected devices supplies informed coaching data science-enabled insights and facilitates access to medications. Its products include Livongo for diabetes Livongo for hypertension Livongo for prediabetes and weight management and Livongo for behavioral health by myStrength. The company was formerly known as EosHealth Inc. and changed its name to Livongo Health Inc. in 2014. Livongo Health Inc. was incorporated in 2008 and is headquartered in Mountain View California.,United States,Devices,Healthcare
225,RBB,RBB Bancorp,NASDAQ Global Select,23.0,"3,750,000",07/26/2017,86250000,Priced,RBB Bancorp operates as the bank holding company for Royal Business Bank that provides various banking products and services to the Chinese-American communities. Its deposit products include checking savings and money market accounts as well as certificates of deposit. The company offers commercial and industrial lines of credit term loans mortgage warehouse lines and international trade discounts; commercial real estate loans; residential construction commercial construction and land acquisition and development construction loans; small business administration loans; and single-family residential mortgage loans. In addition it provides international letters of credit SWIFT export advisory trade finance discount and foreign exchange services; and trust remote deposit e-banking and mobile banking services as well as operates a loan production office in California. The company primarily offers its products and services to individuals businesses municipalities and other entities. As of January 27 2020 it operated 10 branches in Los Angeles County; 2 branches in Ventura County; 1 branch in Irvine California; 1 branch in Las Vegas Nevada; 8 branches and 1 loan operation center in Brooklyn Queens and Manhattan in New York; and 3 branches in Chicago Illinois. RBB Bancorp was founded in 2008 and is headquartered in Los Angeles California.,United States,Organization,Financial Services
226,TENB,"Tenable Holdings, Inc.",NASDAQ Global Select,23.0,"10,900,000",07/26/2018,250700000,Priced,Tenable Holdings Inc. provides cybersecurity solutions in the Americas Europe the Middle East Africa and the Asia Pacific. The company enterprise software platform enables visibility into an organization's cyber exposure across the attack surface and deep insights that help organizations translate vulnerability data into business insights to understand and reduce their cybersecurity risk. It offers Tenable.io a software as a service that manages and measures cyber exposure across a range of traditional information technology (IT) assets such as networking infrastructure desktops and on-premises servers as well as modern IT assets such as cloud workloads containers Web applications and Internet of Things and operational technology assets; and Tenable.sc a solution to manage and measure cyber exposure across traditional information technology assets and can be run on-premises. The company was founded in 2002 and is headquartered in Columbia Maryland.,United States,OS,Technology
227,PDD,Pinduoduo Inc.,NASDAQ Global Select,19.0,"85,600,000",07/26/2018,1626400000,Priced,Pinduoduo Inc. through its subsidiaries operates an e-commerce platform in the People's Republic of China. It operates Pinduoduo a mobile platform that offers a range of products including apparel shoes bags mother and childcare products food and beverage fresh produce electronic appliances furniture and household goods cosmetics and other personal care items sports and fitness items and auto accessories. The company was formerly known as Walnut Street Group Holding Limited and changed its name to Pinduoduo Inc. in July 2018. Pinduoduo Inc. was founded in 2015 and is headquartered in Shanghai the People's Republic of China.,China,Search,Consumer Cyclical
228,FOCS,Focus Financial Partners Inc.,NASDAQ Global Select,33.0,"16,216,217",07/26/2018,535135161,Priced,Focus Financial Partners Inc. provides wealth management services to primarily high net worth individuals and families. Its wealth management services include investment advice financial and tax planning consulting tax return preparation family office services and other services. The company also offers recordkeeping and administration services; recommends financial products through commissions; and sells investment or insurance products. Focus Financial Partners Inc. was founded in 2006 and is headquartered in New York New York.,United States,Business,Financial Services
229,BRY,Berry Corp (bry),NASDAQ Global Select,14.0,"13,043,479",07/26/2018,182608706,Priced,Berry Corporation an independent upstream energy company engages in the development and production of conventional oil reserves located in the western United States. The company's properties are located in the San Joaquin and Ventura basins California; Uinta basin Utah; and Piceance basin Colorado. As of December 31 2019 it had a total of 3541 net producing wells. The company was formerly known as Berry Petroleum Corporation and changed its name to Berry Corporation in February 2020. Berry Corporation was founded in 1909 and is headquartered in Dallas Texas.,United States,Misc.,Energy
230,CANG,Cango Inc.,NYSE,11.0,"4,000,000",07/26/2018,44000000,Priced,Cango Inc. operates an automotive transaction service platform that connects dealers financial institutions car buyers and other industry participants in the People's Republic of China. It facilitates automotive financing services that include facilitating financing transactions from financial institutions to car buyers; automotive transactions between automotive wholesalers dealers and car buyers; and after-market services to car buyers. The company was founded in 2010 and is headquartered in Shanghai the People's Republic of China.,China,Search,Communication Services
231,SBE,Switchback Energy Acquisition Corp,NYSE,10.0,"30,000,000",07/26/2019,300000000,Priced,Switchback Energy Acquisition Corporation does not have significant operations. It intends to identify and acquire companies through a merger capital stock exchange asset acquisition stock purchase reorganization or similar business combinations. The company focuses on investing in businesses and/or assets in the upstream and midstream energy sectors primarily in North America. Switchback Energy Acquisition Corporation was founded in 2019 and is based in Dallas Texas.,United States,Misc.,Financial Services
232,VIST,"Vista Oil & Gas, S.A.B. de C.V.",NYSE,9.25,"10,000,000",07/26/2019,92500000,Priced,Vista Oil & Gas S.A.B. de C.V. operates as an oil and gas exploration and production company in Latin America. As of December 31 2019 it had proved reserves of 101.8 MMBOE. The company was incorporated in 2017 and is based in Mexico City Mexico.,Mexico,Misc.,Energy
233,WSG,Wanda Sports Group Co Ltd,NASDAQ Global Select,8.0,"23,800,000",07/26/2019,190400000,Priced,Wanda Sports Group Company Limited operates as a sports events media and marketing platform worldwide. It operates through Spectator Sports; Digital Production Sports Solutions (DPSS); and Mass Participation. The Spectator Sports segment monetizes rights acquired from rights owners under contractual arrangements through media distribution sponsorship and marketing activities; and provides services to its rights-in partners and rights-out clients covering event operation and support media production digital solutions and ancillary services. This segment includes a portfolio of sports such as football and winter and summer sports. The DPSS segment offers a suite of specialized sports-related services including digital media solutions media and program production host broadcasting marketing event operations brand development and advertising solutions. The Mass Participation segment organizes operates and monetizes a range of mass participation sports including triathlon running mountain biking road cycling obstacle course racing and trail running through a portfolio of brands and other intellectual property. It also engages in the rights distribution broadcast hosting digital media and entertainment program production event operations and licensing and brand development and sponsorship activities. The company was founded in 2018 and is headquartered in Beijing the People's Republic of China. Wanda Sports Group Company Limited operates as a subsidiary of Wanda Sports & Media (Hong Kong) Holding Co. Ltd.,China,Media,Communication Services
234,DAVA,Endava plc,NYSE,20.0,"6,340,000",07/27/2018,126800000,Priced,Endava plc provides technology services for clients in the consumer products healthcare logistics and retail verticals in Europe Latin America and the United States. It offers strategy creative and user experience insights through data mobile and Internet of Things architecture smart automation software engineering test automation and engineering continuous delivery cloud applications management and smart desk services across the digital evolution agile transformation and automation solution areas. The company was founded in 2000 and is headquartered in London United Kingdom.,United Kingdom,OS,Technology
235,OPRA,Opera Ltd,NASDAQ Global Select,12.0,"9,600,000",07/27/2018,115200000,Priced,Opera Limited together with its subsidiaries provides mobile and PC web browsers. The company offers mobile browser products such as Opera Mini Opera for Android and Opera Touch; PC browsers including Opera for Computers and Opera GX; Opera News a personalized news aggregation app; and Okash a microfinance app. It operates in India Ireland Kenya Russia and internationally. The company was founded in 1996 and is headquartered in Oslo Norway.,Norway,OS,Technology
236,RDFN,Redfin CORP,NASDAQ Global Select,15.0,"9,231,000",07/28/2017,138465000,Priced,Redfin Corporation operates as a real estate brokerage company in the United States and Canada. The company operates an online real estate marketplace and provides real estate services including assisting individuals in the purchase or sell of home. It also provides title and settlement services; originates and sells mortgages; and buys and sells homes. The company was formerly known as Appliance Computing Inc. and changed its name to Redfin Corporation in May 2006. Redfin Corporation was incorporated in 2002 and is headquartered in Seattle Washington.,United States,Misc.,Real Estate
237,BORR,Borr Drilling Ltd,NYSE,9.3,"5,000,000",07/31/2019,46500000,Priced,Borr Drilling Limited operates as an offshore drilling contractor to the oil and gas industry worldwide. The company operates a fleet of 27 jack-up drilling rigs. It provides drilling services to the oil and gas exploration and production companies including integrated oil companies state-owned national oil companies and independent oil and gas companies. The company was formerly known as Magni Drilling Limited. Borr Drilling Limited was founded in 2016 and is based in Hamilton Bermuda.,Bermuda,Misc.,Energy
238,DT,"Dynatrace, Inc.",NYSE,16.0,"35,609,612",08/01/2019,569753792,Priced,Dynatrace Inc. provides a software intelligence platform for the enterprise cloud applications. It operates Dynatrace a platform for running an enterprise cloud. The company's products include AppMon that works in various application environments such as mobile apps web apps web browsers web servers Java .NET Node.js PHP databases middleware and mainframe; Classic Real User Monitoring which tracks user's experience from an edge devices comprising smart phones tablets PCs or kiosk through cloud services as well as customer's web tiers; Network Application Monitoring that provides enterprise applications network services user experience and application delivery across wide-area networks; and Synthetic Classic which offers customer experience as well as is used to monitor application and application program interface availability and performance. Its platform allows its customers to modernize and automate IT operations develop and release software and enhance user experiences. The company also offers implementation consulting and training services. Dynatrace Inc. markets its products through a combination of direct sales team and a network of partners including resellers system integrators and managed service providers. It serves customers in various industries comprising banking insurance retail manufacturing travel and software. The company operates in North America Europe the Middle East Africa the Asia Pacific and Latin America. Dynatrace Inc. is headquartered in Waltham Massachusetts.,United States,OS,Technology
239,SNDL,Sundial Growers Inc.,NASDAQ Global Select,13.0,"10,000,000",08/01/2019,130000000,Priced,Sundial Growers Inc. engages in the production distribution and sale of cannabis for medical and adult recreational access in Canada. The company is also involved in the production distribution and sale of ornamental flowers and herbs in the United Kingdom. It serves the adult-use cannabis industry. The company offers its products under the Top Leaf Sundial Cannabis Palmetto and Grasslands brands. Sundial Growers Inc. was incorporated in 2006 and is headquartered in Calgary Canada.,Canada,Research,Healthcare
240,SONO,Sonos Inc,NASDAQ Global Select,15.0,"13,888,888",08/02/2018,208333320,Priced,Sonos Inc. together with its subsidiaries designs develops manufactures and sells multi-room audio products in the Americas Europe the Middle East Africa and the Asia Pacific. The company provides wireless speakers home theater speakers components and accessories. It offers its products through approximately 10000 third-party retail stores including custom installers of home audio systems; and e-commerce retailers as well as through its Website sonos.com. The company was formerly known as Rincon Audio Inc. and changed its name to Sonos Inc. in May 2004. Sonos Inc. was founded in 2002 and is headquartered in Santa Barbara California.,United States,Misc.,Technology
241,CWK,Cushman & Wakefield plc,NYSE,17.0,"45,000,000",08/02/2018,765000000,Priced,Cushman & Wakefield plc provides commercial real estate services under the Cushman & Wakefield brand in the Americas the Asia Pacific Europe the Middle East and Africa. The company's operating segments include the Americas; Europe Middle East and Africa; and Asia Pacific. It offers integrated facilities management project and development portfolio administration transaction management and strategic consulting services; property management services including client accounting engineering and operations lease compliance administration project and development and sustainability services; and janitorial maintenance critical environment management landscaping and office services. The company also provides owner representation and tenant representation leasing services; capital market services such as investment sales and equity and debt and structured financing for real estate purchase and sales transactions; and appraisal management investment management valuation advisory portfolio advisory diligence advisory dispute analysis and litigation support financial reporting and property and/or portfolio valuation services on real estate debt and equity decisions. It serves real estate owners and occupiers. Cushman & Wakefield plc was founded in 1784 and is headquartered in Chicago Illinois.,United States,Misc.,Real Estate
242,VNTR,Venator Materials PLC,NYSE,20.0,"22,700,000",08/03/2017,454000000,Priced,Venator Materials PLC manufactures and markets chemical products worldwide. It operates through two segments Titanium Dioxide and Performance Additives. The Titanium Dioxide segment offers titanium dioxide (TiO2) such as rutile anatase and nano TiO2 products for use in coatings plastics paper printing inks fibers and food and personal care products. The Performance Additives segment provides barium and zinc additives for use in coatings films pharmaceuticals and paper and glass fiber reinforced plastics; colored inorganic pigments comprising iron oxides ultramarines specialty inorganics chemicals and driers for construction coating plastic and specialty markets; wood protection chemicals for use in residential and commercial applications; and water treatment chemicals for the municipal and industrial waste water treatment markets as well as for the paper industry. Venator Materials PLC was founded in 2017 and is headquartered in Stockton-On-Tees the United Kingdom.,United Kingdom,Misc.,Basic Materials
243,ARLO,"Arlo Technologies, Inc.",NYSE,16.0,"10,215,000",08/03/2018,163440000,Priced,Arlo Technologies Inc. provides smart connected devices to monitor the environments in real-time with a Wi-Fi or a cellular connection in the Americas Europe the Middle-East and Africa and the Asia Pacific regions. It offers Arlo Security Camera a battery-operated Wi-Fi security camera; Arlo Q and Arlo Q Plus an indoor wired solution that allow users to monitor their surroundings; Arlo Pro a battery-operated weather-resistant Wi-Fi camera; Arlo Go a LTE-enabled wire-free camera that provides untethered mobile security; and Arlo Baby a baby monitor with air quality and temperature sensors motion and audio detection and advanced night vision. The company also offers Arlo Pro 2 a battery-operated weather-resistant Wi-Fi camera with advancements in sound and motion detection; Arlo Audio Doorbell a smart audio doorbell solution to pair with Arlo camera or Arlo Security Light products; Arlo Chime a product that plugs into standard wall outlet and pairs with the Arlo Audio Doorbell to play various ringtones or act as a siren; and accessories such as charging accessories device mounts and device skins. In addition it provides Arlo Ultra an integrated spotlight and crystal-clear two-way audio with advanced noise cancellations camera; Arlo Pro 3 an integrated spotlight with color night vision camera; and Arlo Video Doorbell a doorbell camera which delivers direct-to-mobile video calls and personalized alerts. Further the company offers Arlo app for iOS and Android devices that allow users to connect various devices; and prepaid services including seven-day cloud video storage with the ability to connect up to five cameras and 90 days of customer support. The company offers its products through retail channels wholesale distribution and wireless carrier channels and paid subscription services through in-app purchases. Arlo Technologies Inc. was incorporated in 2018 and is headquartered in San Jose California.,United States,Devices,Industrials
244,HKIB,AMTD International Inc.,NYSE,8.38,"20,759,700",08/05/2019,173966286,Priced,AMTD International Inc. an investment holding company engages in investment banking activities in Hong Kong Mainland China the United States and internationally. The company operates through three segments: Investment Banking Asset Management and Strategic Investment. It offers a range of investment banking services including equity underwriting debt underwriting securities brokerage institutional sales and distribution and research as well as advisory on credit rating financing and mergers and acquisitions transactions. The company also provides professional investment management and advisory services primarily to corporate and other institutional clients. In addition it makes long-term strategic investments focusing on Asia's financial and new economy sectors. The company was formerly known as AMTD Inc. The company was incorporated in 2019 and is headquartered in Central Hong Kong. AMTD International Inc. is as subsidiary of AMTD Group Company Limited.,Hong Kong,Business,Financial Services
245,INMD,InMode Ltd.,NASDAQ Global Select,14.0,"5,000,000",08/08/2019,70000000,Priced,InMode Ltd. designs develops manufactures and markets minimally-invasive aesthetic medical products based on its proprietary radio frequency assisted lipolysis and deep subdermal fractional radio frequency technologies. The company offers minimally-invasive aesthetic medical products for various procedures such as liposuction with simultaneous skin tightening body and face contouring and ablative skin rejuvenation treatments. It also designs develops manufactures and markets non-invasive medical aesthetic products that target an array of procedures including permanent hair reduction facial skin rejuvenation wrinkle reduction cellulite treatment skin appearance and texture and superficial benign vascular and pigmented lesions. InMode Ltd. offers its products directly in the United States Canada the United Kingdom Spain Australia and India as well as indirectly through distributors in 46 countries. The company was formerly known as Invasix Ltd. and changed its name to InMode Ltd. in November 2017. InMode Ltd. was founded in 2008 and is headquartered in Yokneam Israel.,Israel,Devices,Healthcare
246,ZEAL,Zealand Pharma A/S,NASDAQ Global Select,17.87,"4,375,000",08/09/2017,78181250,Priced,Zealand Pharma A/S a biotechnology company engages in the discovery and development of peptide-based medicines in Denmark. It has a portfolio of medicines in development stage focusing on gastrointestinal and metabolic diseases. The company markets lixisenatide under the brand names of Adlyxin Lyxumia Soliqua 100/33 and Suliqua. Its product pipeline includes glepaglutide a long acting GLP-2 analog which is in Phase 3 clinical trials for the treatment of short bowel syndrome; and dasiglucagon a stable glucagon analog for the treatment of severe hypoglycemia in diabetes and congenital hyperinsulinism as well as for use in dual-hormone artificial pancreas for automated diabetes management. Zealand Pharma A/S has collaboration agreements with Sanofi-Aventis Deutschland GmbH; Boehringer Ingelheim International GmbH; and Beta Bionics Inc. to initiate home-use trial of the iLet bionic pancreas with dasiglucagon for autonomous bihormonal treatment of type 1 diabetes as well as research agreement with Orbit Discovery Ltd. and Torrey Pines Institute for Molecular Studies. The company was founded in 1997 and is headquartered in Copenhagen Denmark.,Denmark,Research,Healthcare
247,VCNX,"VACCINEX, INC.",NASDAQ Global Select,12.0,"3,333,334",08/09/2018,40000008,Priced,Vaccinex Inc. a clinical-stage biotechnology company discovers and develops bio therapeutics to treat serious diseases and conditions with unmet medical needs. The company offers its products for the treatment of cancer neurodegenerative diseases and autoimmune disorders. Its lead product candidate is pepinemab that is in clinical development stage for the treatment of non-small cell lung cancer (NSCLC) Huntington's disease osteosarcoma melanoma and Alzheimer's disease. The company is also developing VX5 a human antibody to CXCL13 that is in preclinical development for the treatment of MS and potentially for other autoimmune disorders; and VX25 a bi-specific natural killer T (NKT) cell stimulator for the therapeutic application of NKT cell stimulation for cancer immunotherapy. It has a clinical trial collaboration and supply agreement with Merck KGaA to test pepinemab in combination with avelumab checkpoint inhibitor in NSCLC patients. Vaccinex Inc. was founded in 2001 and is headquartered in Rochester New York.,United States,Research,Healthcare
248,PCB,PCB BANCORP,NASDAQ Global Select,20.0,"2,385,000",08/09/2018,47700000,Priced,PCB Bancorp operates as the bank holding company for Pacific City Bank that provides various banking products and services to individuals and small and middle market businesses in Southern California. The company offers demand savings money market and time deposits as well as certificates of deposit; and remote deposit capture courier deposit services positive pay services zero balance accounts and sweep accounts. It also provides real estate loans commercial and industrial loans automobile secured loans unsecured lines of credit term loans and personal loans for various business customers including manufacturing wholesale and retail trade hospitality etc. In addition the company offers automated teller machines debit cards direct deposits and cashier's checks as well as treasury management wire transfer and automated clearing house services; remote deposit and cash management services; and online mobile telephone mail and personal appointment banking services. It operates through a network of 11 full-service branches in Los Angeles and Orange counties California; and a full-service branch in Englewood Cliffs New Jersey and Bayside New York. The company also operates 10 loan production offices located in Irvine Artesia and Los Angeles California; Annandale Virginia; Chicago Illinois; Atlanta Georgia; Bellevue Washington; Aurora Colorado; Carrollton Texas; and New York New York. The company was formerly known as Pacific City Financial Corporation and changed its name to PCB Bancorp in July 2019. PCB Bancorp was founded in 2003 and is headquartered in Los Angeles California.,United States,Organization,Financial Services
249,MESA,MESA AIR GROUP INC,NASDAQ Global Select,12.0,"9,630,000",08/10/2018,115560000,Priced,Mesa Air Group Inc. operates as the holding company for Mesa Airlines Inc. which provides regional air carrier services under capacity purchase agreements with the American Airlines and the United Airlines. As of December 31 2019 it operated a fleet of 145 aircraft with approximately 742 daily departures to 144 cities in the United States Canada Mexico Cuba and the Bahamas. The company was founded in 1982 and is headquartered in Phoenix Arizona.,United States,Search,Industrials
250,SPAQ,Spartan Energy Acquisition Corp.,NYSE,10.0,"48,000,000",08/10/2018,480000000,Priced,Spartan Energy Acquisition Corp. does not have significant operations. It intends to enter into merger capital stock exchange asset acquisition stock purchase reorganization or similar business combination agreement with one or more businesses. The company was founded in 2017 and is based in New York New York.,United States,Misc.,Financial Services
251,RNGR,"Ranger Energy Services, Inc.",NYSE,14.5,"5,862,069",08/11/2017,85000001,Priced,Ranger Energy Services Inc. provides onshore high specification well service rigs wireline completion services and complementary services to exploration and production companies in the United States. It operates through three segments: High Specification Rigs Completion and Other Services and Processing Solutions. The High Specification Rigs segment offers well service rigs and complementary equipment and services to facilitate operations throughout the lifecycle of a well. It also rents well service-related equipment consisting of fluid pumps power swivels well control packages hydraulic catwalks frac tanks pipe racks and pipe handling tools. This segment also has a fleet of 139 well service rigs. The Completion and Other Services segment provides wireline completion services necessary to bring a well on production and other ancillary services utilized in conjunction with rig services to maintain the production of a well. The Processing Solutions segment offers proprietary and modular equipment for the processing of natural gas. The company was founded in 2017 and is based in Houston Texas.,United States,Misc.,Energy
252,CFB,"CROSSFIRST BANKSHARES, INC.",NASDAQ Global Select,14.5,"7,011,589",08/15/2019,101668041,Priced,CrossFirst Bankshares Inc. operates as the bank holding company for CrossFirst Bank that provides a range of banking and financial services to businesses business owners and professionals and its personal networks. The company offers commercial real estate construction and development and one-to-four family real estate loans; commercial loans across various industries including the energy industry; and a variety of loans to individuals for personal and household purposes such as secured and unsecured term loans and home improvement loans. It also provides a range of deposit products consisting of non-interest-bearing demand deposits and interest-bearing deposits which include savings accounts money market accounts and certificates of deposit as well as transaction accounts comprising negotiable order of withdrawal accounts; and brokered and reciprocal deposits. In addition the company offers other banking products and services covering a suite of online banking solutions including access to account balances online transfers online bill payment and electronic delivery of client statements and mobile banking solutions; ATMs; debit card direct deposit cashier's check wire transfer and automated clearing house services; commercial treasury management services; and cash management deposit products. Further it holds investments in marketable securities. The company operates seven branches in Kansas Missouri Oklahoma and Texas. CrossFirst Bankshares Inc. was founded in 2007 and is headquartered in Leawood Kansas.,United States,Organization,Financial Services
253,NSCO,"NESCO HOLDINGS, INC.",NYSE,10.0,"35,000,000",08/16/2017,350000000,Priced,Nesco Holdings Inc. provides specialty equipment parts tools accessories and services to the electric utility transmission and distribution telecommunications and rail markets in North America. The company rents and sells specialized equipment to various customer base for the maintenance repair upgrade and installation of critical infrastructure assets including electric lines telecommunications networks and rail systems. It has a coast-to-coast rental fleet of approximately 4600 units comprising insulated and non-insulated bucket trucks digger derricks line equipment cranes pressure diggers and underground equipment. The company is based in the Fort Wayne Indiana.,United States,Search,Industrials
254,MFAC,Megalith Financial Acquisition Corp,NYSE,10.0,"15,000,000",08/24/2018,150000000,Priced,Megalith Financial Acquisition Corp. does not have significant operations. It intends to effect a merger capital stock exchange asset acquisition stock purchase reorganization or similar business combination with one or more businesses. The company focuses on companies in the financial services industry or businesses providing technological services to the financial industry. Megalith Financial Acquisition Corp. was founded in 2017 and is based in New York New York.,United States,Misc.,Financial Services
255,NIO,NIO Inc.,NYSE,6.26,"160,000,000",09/12/2018,1001600000,Priced,NIO Limited designs manufactures and sells electric vehicles in the People's Republic of China Hong Kong the United States the United Kingdom and Germany. The company offers five six and seven-seater electric SUVs. It is also involved in the provision of energy and service packages to its users; marketing design and technology development activities; manufacture of e-powertrains battery packs and components; and sales and after sales management activities. In addition the company offers charging solutions including Power Home a home charging solution; Power Swap a battery swapping service; Power Mobile a mobile charging service through charging trucks; Public Charger a public fast charging solution; and Power Express a 24-hour on-demand pick-up and drop-off charging service. Further it provides value-added services such as statutory and third-party liability insurance and vehicle damage insurance through third-party insurers; repair and routine maintenance services; courtesy car services during lengthy repairs and maintenance; and roadside assistance as well as data packages. NIO Limited has a strategic collaboration with Mobileye N.V. for the development of automated and autonomous vehicles; and collaboration agreements with various manufacturers for the manufacture of ES8 a six or seven-seater high-performance electric SUV. The company was formerly known as NextEV Inc. and changed its name to NIO Limited in July 2017. NIO Limited was founded in 2014 and is headquartered in Shanghai China.,China,Innovation,Consumer Cyclical
